City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Solone,UA,48.2081,34.8721,59.05,44,61,14.79,broken clouds
80,Astoria,US,46.1879,-123.8313,57.09,89,75,1.99,broken clouds
81,Norman Wells,CA,65.282,-126.8329,30.24,80,75,4.61,broken clouds
82,Ushuaia,AR,-54.8,-68.3,40.66,81,20,8.05,few clouds
83,Jamestown,US,42.097,-79.2353,61.72,53,1,5.01,clear sky
84,Evensk,RU,61.95,159.2333,39.63,50,100,5.59,overcast clouds
85,Namatanai,PG,-3.6667,152.4333,80.26,80,98,4.52,overcast clouds
86,Lashio,MM,22.9333,97.75,71.29,86,99,1.88,overcast clouds
87,Castro,BR,-24.7911,-50.0119,77.38,52,0,1.25,clear sky
88,Steamboat Springs,US,40.485,-106.8317,62.1,46,1,0.0,clear sky
89,Dicamay,PH,16.7561,122.0037,75.67,94,18,2.19,few clouds
90,Padang,ID,-0.9492,100.3543,82.45,88,100,4.54,overcast clouds
91,Kabalo,CD,-6.05,26.9167,88.65,40,78,3.58,broken clouds
92,Butaritari,KI,3.0707,172.7902,83.08,77,65,20.47,light rain
93,Arlit,NE,18.7369,7.3853,98.92,6,0,4.92,clear sky
94,Dikson,RU,73.5069,80.5464,36.77,83,52,22.5,broken clouds
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,73,11,14.88,few clouds
96,Kodiak,US,57.79,-152.4072,39.7,51,2,5.37,clear sky
97,Cambridge,CA,43.3601,-80.3127,64.98,77,75,3.0,broken clouds
98,Lata,PT,40.1629,-8.3327,78.49,51,95,5.79,overcast clouds
99,Nemuro,JP,43.3236,145.575,56.8,82,0,11.45,clear sky
100,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,39,13.31,scattered clouds
101,Korla,CN,41.7597,86.1469,73.27,20,0,3.62,clear sky
102,Puerto Colombia,CO,10.9878,-74.9547,82.49,78,16,8.79,few clouds
103,Matagami,CA,49.7502,-77.6328,44.71,100,90,9.22,overcast clouds
104,Lockhart,US,28.6194,-81.4426,75.16,80,1,0.0,clear sky
105,Hokitika,NZ,-42.7167,170.9667,42.93,73,5,3.62,clear sky
106,Tete,MZ,-16.1564,33.5867,98.69,23,40,13.8,scattered clouds
107,San Policarpo,PH,12.1791,125.5072,79.2,88,34,5.53,scattered clouds
108,Camacha,PT,33.0833,-16.3333,72.82,60,20,11.5,few clouds
109,Airai,TL,-8.9266,125.4092,60.06,91,61,2.33,broken clouds
110,Cabedelo,BR,-6.9811,-34.8339,81.27,74,49,20.33,scattered clouds
111,Lavrentiya,RU,65.5833,-171.0,25.86,78,15,4.38,few clouds
112,Port Hardy,CA,50.6996,-127.4199,51.98,93,90,11.5,light intensity shower rain
113,Fortuna,US,40.5982,-124.1573,62.92,65,90,5.01,light rain
114,Rocha,UY,-34.4833,-54.3333,65.26,73,0,5.91,clear sky
115,Luanda,AO,-8.8368,13.2343,82.4,57,20,9.22,few clouds
116,Snyder,US,32.7179,-100.9176,70.52,55,1,10.36,clear sky
117,Ilo,PE,-17.6394,-71.3375,58.06,82,90,8.05,overcast clouds
118,Saskylakh,RU,71.9167,114.0833,28.42,92,71,13.04,broken clouds
119,Khatanga,RU,71.9667,102.5,28.8,81,15,8.9,few clouds
120,Bhikangaon,IN,21.8667,75.95,80.98,84,100,5.17,overcast clouds
121,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,24.16,clear sky
122,Naustdal,NO,61.509,5.7168,71.56,49,40,10.36,scattered clouds
123,Chokurdakh,RU,70.6333,147.9167,25.79,91,100,18.9,snow
124,East London,ZA,-33.0153,27.9116,70.74,68,0,27.63,clear sky
125,Nikolskoye,RU,59.7035,30.7861,56.88,63,10,6.69,clear sky
126,Bebedouro,BR,-20.9494,-48.4792,81.82,41,96,7.14,overcast clouds
127,Beloha,MG,-25.1667,45.05,91.76,20,4,12.06,clear sky
128,Mazagao,BR,-0.115,-51.2894,87.85,54,4,6.89,clear sky
129,Hengshui,CN,37.7322,115.7011,67.05,86,100,2.91,light rain
130,Birjand,IR,32.8663,59.2211,90.07,6,0,9.22,clear sky
131,Vagur,FO,61.4732,-6.8119,49.06,86,100,11.63,overcast clouds
132,Kampong Thum,KH,12.7111,104.8887,80.29,82,21,0.92,few clouds
133,Yulara,AU,-25.2406,130.9889,80.44,13,82,6.91,broken clouds
134,Lompoc,US,34.6391,-120.4579,60.57,85,90,3.44,mist
135,Byron Bay,AU,-28.65,153.6167,64.35,61,66,5.41,broken clouds
136,Muisne,EC,0.6,-80.0333,74.44,89,100,12.08,overcast clouds
137,Tura,IN,25.5198,90.2201,78.1,82,34,3.58,heavy intensity rain
138,Hirado,JP,33.3597,129.5531,78.15,84,7,18.01,clear sky
139,Soe,ID,-9.8607,124.284,65.3,90,54,4.14,broken clouds
140,Roald,NO,62.5833,6.1333,72.52,49,0,8.05,clear sky
141,Torbat-E Jam,IR,35.244,60.6225,73.4,33,0,8.16,clear sky
142,Kropotkin,RU,45.4375,40.5756,64.44,43,13,12.26,few clouds
143,Altay,CN,47.8667,88.1167,47.17,14,100,1.66,overcast clouds
144,Ribeira Grande,PT,38.5167,-28.7,70.2,78,75,14.97,broken clouds
145,Yellowknife,CA,62.456,-114.3525,34.32,100,1,5.75,clear sky
146,Sabang,ID,5.8933,95.3214,82.58,72,100,13.27,overcast clouds
147,Ruteng,ID,-8.6136,120.4721,62.78,95,63,2.28,broken clouds
148,Nalut,LY,30.3333,10.85,92.34,15,0,5.35,clear sky
149,San Jose,US,37.3394,-121.895,61.07,82,90,0.0,overcast clouds
150,Provideniya,RU,64.3833,-173.3,28.65,86,15,3.87,few clouds
151,Nuuk,GL,64.1835,-51.7216,32.61,55,1,11.5,clear sky
152,Luderitz,NA,-26.6481,15.1594,65.21,69,1,28.59,clear sky
153,Hualmay,PE,-11.0964,-77.6139,63.0,81,75,4.34,broken clouds
154,Mount Gambier,AU,-37.8333,140.7667,49.91,71,100,2.3,overcast clouds
155,Goderich,CA,43.7501,-81.7165,64.72,72,98,13.8,overcast clouds
156,Lebu,CL,-37.6167,-73.65,49.82,60,0,13.27,clear sky
157,Silao,MX,20.9333,-101.4333,59.38,94,75,0.0,broken clouds
158,Birao,CF,10.2849,22.7882,87.82,54,88,4.61,overcast clouds
159,Bluff,NZ,-46.6,168.3333,38.8,81,78,11.59,broken clouds
160,Wanxian,CN,30.8039,108.3897,78.37,87,14,0.89,light rain
161,Barkly West,ZA,-28.5354,24.5215,96.08,10,97,22.15,overcast clouds
162,Kungurtug,RU,50.5994,97.5228,17.51,86,78,4.05,broken clouds
163,Krasnoborsk,RU,61.5598,45.934,45.05,88,100,5.77,overcast clouds
164,Jiuquan,CN,39.7432,98.5174,68.34,14,0,6.04,clear sky
165,Cherskiy,RU,68.75,161.3,18.5,93,100,7.23,overcast clouds
166,Strezhevoy,RU,60.7333,77.5889,46.38,80,16,6.51,few clouds
167,Basoko,CD,1.2391,23.616,89.56,44,21,1.86,few clouds
168,Lagoa,PT,39.05,-27.9833,67.87,74,100,19.48,overcast clouds
169,Baghdad,IQ,33.3406,44.4009,96.71,11,0,14.97,clear sky
170,Guerrero Negro,MX,27.9769,-114.0611,67.08,80,6,10.4,clear sky
171,Kaiserslautern,DE,49.45,7.75,73.35,32,40,8.05,scattered clouds
172,Dong Xoai,VN,11.5333,106.9167,76.14,92,25,3.51,scattered clouds
173,Caravelas,BR,-17.7125,-39.2481,80.71,62,92,8.3,overcast clouds
174,Havoysund,NO,70.9963,24.6622,65.28,79,99,7.78,overcast clouds
175,Ladario,BR,-19.0047,-57.6017,80.69,61,1,4.61,smoke
176,Alofi,NU,-19.0595,-169.9187,66.09,94,40,1.14,scattered clouds
177,Ilhabela,BR,-23.7781,-45.3581,74.53,68,0,3.24,clear sky
178,Eirunepe,BR,-6.6603,-69.8736,85.01,58,14,1.57,few clouds
179,Geraldton,AU,-28.7667,114.6,59.41,88,40,3.44,scattered clouds
180,Faanui,PF,-16.4833,-151.75,78.98,75,15,18.95,few clouds
181,Ponta Delgada,PT,37.7333,-25.6667,73.51,88,40,11.5,scattered clouds
182,Clyde River,CA,70.4692,-68.5914,26.02,88,83,9.89,broken clouds
183,Kankon,IN,15.0167,74.0167,75.87,86,100,5.21,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,26.56,85,100,4.79,overcast clouds
185,Brigantine,US,39.4101,-74.3646,68.02,76,1,8.05,clear sky
186,Rio Gallegos,AR,-51.6226,-69.2181,41.05,56,0,9.22,clear sky
187,Benguela,AO,-12.5763,13.4055,76.77,64,8,10.36,clear sky
188,Bay Roberts,CA,47.5999,-53.2648,62.06,96,100,4.0,heavy intensity rain
189,Temirtau,KZ,50.0544,72.9483,44.85,80,100,11.3,light rain
190,Charlestown,AU,-32.95,151.6667,59.74,76,46,1.01,scattered clouds
191,Pemagatsel,BT,27.0319,91.4266,62.83,94,76,4.03,broken clouds
192,Urusha,RU,54.05,122.9,39.87,82,97,5.82,overcast clouds
193,Polyarnyy,RU,69.1989,33.4478,55.87,75,60,8.63,broken clouds
194,Aulnoye-Aymeries,FR,50.2014,3.8384,64.78,91,100,17.13,overcast clouds
195,Te Anau,NZ,-45.4167,167.7167,34.11,85,14,0.6,few clouds
196,Constitucion,CL,-35.3333,-72.4167,52.48,49,100,7.74,overcast clouds
197,Saint-Joseph,RE,-21.3667,55.6167,77.38,76,43,13.29,scattered clouds
198,Hofn,IS,64.2539,-15.2082,46.42,66,75,8.05,broken clouds
199,Tessalit,ML,20.1986,1.0114,101.14,10,0,4.99,clear sky
200,Kyshtovka,RU,56.555,76.6271,40.96,66,100,7.45,overcast clouds
201,Orotukan,RU,62.2667,151.7,33.75,73,100,3.09,overcast clouds
202,Calama,CL,-22.4667,-68.9333,71.13,7,0,6.85,clear sky
203,Souillac,MU,-20.5167,57.5167,77.38,65,75,12.66,broken clouds
204,Khor,RU,47.8861,134.9464,59.36,91,100,5.97,overcast clouds
205,Rincon,US,32.296,-81.2354,66.85,94,1,0.0,clear sky
206,Abu Samrah,SY,35.3029,37.1841,91.02,16,0,19.24,clear sky
207,Saint Anthony,US,45.0205,-93.218,59.25,91,1,1.99,clear sky
208,Saint-Augustin,CA,51.226,-58.6502,54.37,98,100,14.63,overcast clouds
209,Turochak,RU,52.2576,87.1224,32.2,81,1,4.63,clear sky
210,Komsomolskiy,UZ,40.4272,71.7189,76.42,27,0,9.22,clear sky
211,Chernyshevskiy,RU,63.0128,112.4714,32.14,80,100,15.23,overcast clouds
212,Lunenburg,CA,44.3835,-64.3155,60.8,80,0,12.66,clear sky
213,Port Blair,IN,11.6667,92.75,80.94,80,100,7.81,light rain
214,Luziania,BR,-16.2525,-47.9503,79.99,30,6,7.45,clear sky
215,Bagua Grande,PE,-5.7561,-78.4411,78.57,63,19,1.34,few clouds
216,Saint-Louis,SN,16.3333,-15.0,98.24,30,93,2.04,overcast clouds
217,Leh,IN,34.1667,77.5833,64.4,18,0,4.29,clear sky
218,Seddon,AU,-37.8068,144.8916,55.98,63,0,8.05,clear sky
219,Tokmak,UA,47.2514,35.7058,63.54,36,17,11.14,few clouds
220,Hondo,JP,32.45,130.2,78.75,76,86,7.47,overcast clouds
221,Bonavista,CA,48.6499,-53.1147,58.12,97,100,22.15,moderate rain
222,Prainha,BR,-1.8,-53.48,88.18,53,43,4.14,scattered clouds
223,Saint-Jerome,CA,45.7804,-74.0036,58.23,85,75,4.61,broken clouds
224,Aleksandriya,RU,45.0947,43.2456,63.66,41,19,17.02,few clouds
225,Bandundu,CD,-3.3167,17.3667,88.59,48,98,6.64,overcast clouds
226,Hobyo,SO,5.3505,48.5268,81.39,72,100,29.46,overcast clouds
227,Trenggalek,ID,-8.05,111.7167,73.94,87,72,5.41,broken clouds
228,Treinta Y Tres,UY,-33.2333,-54.3833,65.17,74,0,6.58,clear sky
229,Mananjary,MG,-21.2167,48.3333,74.77,69,0,8.12,clear sky
230,Kidal,ML,18.4411,1.4078,102.63,10,1,15.28,clear sky
231,Tucumcari,US,35.1717,-103.725,62.44,55,1,13.8,clear sky
232,Port Lincoln,AU,-34.7333,135.8667,61.97,63,100,16.2,overcast clouds
233,Tocancipa,CO,4.9653,-73.913,48.02,64,56,2.89,broken clouds
234,Killybegs,IE,54.6333,-8.45,57.45,63,7,18.97,clear sky
235,Gadwal,IN,16.2333,77.8,73.4,93,100,14.61,overcast clouds
236,Cockburn Town,TC,21.4612,-71.1419,82.63,71,8,5.08,clear sky
237,Hay River,CA,60.8156,-115.7999,44.58,76,75,10.36,broken clouds
238,Shemursha,RU,54.8866,47.5189,40.3,92,100,14.79,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,79.72,63,4,5.01,clear sky
240,Kemijarvi,FI,66.7131,27.4306,55.83,71,90,7.54,overcast clouds
241,Ust-Nera,RU,64.5667,143.2,32.58,82,98,1.83,overcast clouds
242,Phonhong,LA,18.5007,102.4166,82.22,92,100,1.36,overcast clouds
243,Iskateley,RU,67.6803,53.1512,42.53,87,100,13.0,overcast clouds
244,Boende,CD,-0.2167,20.8667,84.18,63,100,2.46,overcast clouds
245,Jiamusi,CN,46.8333,130.35,58.5,96,7,6.53,clear sky
246,Gasa,PS,31.5,34.4667,84.88,61,37,14.67,scattered clouds
247,Talnakh,RU,69.4865,88.3972,32.74,60,8,6.82,clear sky
248,Bitung,ID,1.4451,125.1824,79.65,82,20,10.65,few clouds
249,Fethiye,TR,36.6217,29.1164,80.47,34,2,6.4,clear sky
250,Seuzach,CH,47.5342,8.7261,74.61,64,20,5.75,few clouds
251,Pisco,PE,-13.7,-76.2167,60.85,82,90,9.22,light intensity drizzle
252,Poum,NC,-20.2333,164.0167,71.56,68,97,10.25,overcast clouds
253,Manavalakurichi,IN,8.1333,77.3,80.69,84,100,18.79,overcast clouds
254,Pevek,RU,69.7008,170.3133,26.91,62,100,12.26,overcast clouds
255,Carnarvon,AU,-24.8667,113.6333,66.27,59,0,16.11,clear sky
256,Hervey Bay,AU,-25.2986,152.8535,67.03,65,100,15.03,overcast clouds
257,Tasiilaq,GL,65.6145,-37.6368,35.76,55,3,6.2,clear sky
258,Conakry,GN,9.538,-13.6773,89.37,74,40,9.22,scattered clouds
259,Fare,PF,-16.7,-151.0167,78.84,77,7,17.63,clear sky
260,Iqaluit,CA,63.7506,-68.5145,33.53,64,40,13.0,scattered clouds
261,Derventa,BA,44.9772,17.9103,82.69,41,3,7.81,clear sky
262,Amberley,US,39.2048,-84.428,62.11,78,2,1.99,clear sky
263,Isangel,VU,-19.55,169.2667,71.71,73,79,8.05,broken clouds
264,Auki,SB,-8.7676,160.7034,77.61,85,99,4.29,overcast clouds
265,Severo-Yeniseyskiy,RU,60.3725,93.0408,32.31,69,99,6.76,overcast clouds
266,Kirakira,SB,-10.4544,161.9205,79.32,86,100,9.26,overcast clouds
267,Perth,AU,-31.9333,115.8333,63.03,84,40,6.91,scattered clouds
268,Grand Gaube,MU,-20.0064,57.6608,77.4,68,0,14.0,clear sky
269,Alice Springs,AU,-23.7,133.8833,85.55,12,97,10.36,overcast clouds
270,Maniitsoq,GL,65.4167,-52.9,31.42,45,0,4.07,clear sky
271,Gobabis,NA,-22.45,18.9667,91.44,8,83,7.16,broken clouds
272,Bayir,TR,37.2687,28.2167,86.83,17,0,9.51,clear sky
273,Obidos,BR,-1.9175,-55.5181,81.12,73,97,1.92,overcast clouds
274,Shenjiamen,CN,29.9576,122.298,76.15,83,0,7.83,clear sky
275,Abbeville,FR,50.1,1.8333,63.48,75,84,18.68,broken clouds
276,Mahebourg,MU,-20.4081,57.7,77.29,65,75,12.66,broken clouds
277,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,75,14.97,broken clouds
278,Qingquan,CN,30.4511,115.2559,77.52,85,41,1.48,light rain
279,Udachnyy,RU,66.4167,112.4,33.1,90,100,18.03,overcast clouds
280,Taoudenni,ML,22.6783,-3.9836,110.19,6,51,8.84,broken clouds
281,Vardo,NO,70.3705,31.1107,55.15,82,40,2.3,scattered clouds
282,Raga,SS,8.4596,25.678,87.01,55,59,1.34,light rain
283,Mountain Home,US,43.133,-115.6912,54.79,57,1,0.0,clear sky
284,Fort Nelson,CA,58.8053,-122.7002,40.59,93,90,3.44,light intensity drizzle
285,Loiza,PR,18.4313,-65.8802,87.21,76,20,0.0,few clouds
286,San Quintin,MX,30.4833,-115.95,67.15,84,100,11.86,overcast clouds
287,Mandalgovi,MN,45.7625,106.2708,53.24,26,5,5.7,clear sky
288,Pafos,CY,34.7667,32.4167,84.24,65,0,17.27,clear sky
289,Neiafu,TO,-18.65,-173.9833,68.68,94,20,0.0,few clouds
290,Kharar,IN,30.7444,76.6478,85.55,60,4,5.7,clear sky
291,Kalmunai,LK,7.4167,81.8167,86.5,55,100,8.39,overcast clouds
292,Basco,PH,20.4487,121.9702,84.33,77,4,15.68,clear sky
293,Wanning,CN,18.8003,110.3967,80.6,86,88,5.77,light rain
294,Bolitoc,PH,15.7395,119.8769,81.25,83,100,0.65,heavy intensity rain
295,Montrose,US,38.4166,-108.2673,50.36,59,100,0.49,overcast clouds
296,Salihorsk,BY,52.7876,27.5415,53.87,63,98,9.82,overcast clouds
297,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,73,40,14.97,scattered clouds
298,Indramayu,ID,-6.3264,108.32,83.48,72,27,10.74,scattered clouds
299,Phangnga,TH,8.4509,98.5298,78.91,93,100,3.58,overcast clouds
300,Hasaki,JP,35.7333,140.8333,66.6,69,76,14.7,broken clouds
301,Huarmey,PE,-10.0681,-78.1522,63.52,84,75,4.63,broken clouds
302,Gigmoto,PH,13.7796,124.39,81.03,85,100,5.77,overcast clouds
303,Anadyr,RU,64.75,177.4833,36.1,80,40,8.01,scattered clouds
304,Kushiro,JP,42.975,144.3747,54.95,86,0,5.1,clear sky
305,Kamenka,RU,51.3223,42.7678,53.47,74,99,13.6,overcast clouds
306,Santa Maria,BR,-29.6842,-53.8069,63.7,94,90,3.44,mist
307,Krasnoselkup,RU,65.7,82.4667,36.5,85,25,10.27,scattered clouds
308,Kuching,MY,1.55,110.3333,79.02,94,20,2.3,light rain
