City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Sinazongwe,ZM,89.02,scattered clouds,-17.2614,27.4618,Lakeview Lodge
408,Lorengau,PG,81.88,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
409,Wattegama,LK,85.12,overcast clouds,6.7989,81.4808,
414,Banda Aceh,ID,80.85,light rain,5.5577,95.3222,Sulthan Hotel International
418,Purwa,IN,86.02,overcast clouds,26.4667,80.7833,Sahu Sweets House
419,Shahr-E Babak,IR,84.34,clear sky,30.1165,55.1186,Duna Ecolodge
420,Barra Patuca,HN,81.82,scattered clouds,15.8,-84.2833,
421,Dhidhdhoo,MV,82.04,overcast clouds,6.8833,73.1,Dhidhoo beach
426,Barra Do Garcas,BR,81.18,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
430,Soyo,AO,82.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
432,Monduli,TZ,80.67,broken clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
434,Chingola,ZM,84.09,overcast clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
436,Isiro,CD,83.35,overcast clouds,2.7739,27.616,Guest House Hewa Bora
442,Viransehir,TR,88.93,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
444,Cayenne,GF,86.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
447,Sabha,LY,87.26,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
448,Ciudad Bolivar,VE,83.8,few clouds,8.1222,-63.5497,Hotel Edi
462,Sombrio,BR,83.93,clear sky,-29.1139,-49.6167,Santa Rosa Do Sul
466,Lookan,PH,84.0,scattered clouds,5.037,120.1027,
475,Bacalan,PH,80.1,overcast clouds,11.5464,122.0849,
479,Salinopolis,BR,84.69,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
482,Cascavel,BR,81.23,clear sky,-24.9558,-53.4553,Grand Prix Hotel
483,Guilin,CN,84.31,light rain,25.2819,110.2864,Grand 0773 Hotel
490,Alizai,PK,82.58,clear sky,33.5383,70.3462,Alizai Rest House
494,Faya,SA,82.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
497,Thinadhoo,MV,83.39,overcast clouds,0.5333,72.9333,
502,Casambalangan,PH,81.77,scattered clouds,18.3765,122.1274,Villa Saturnina
508,Shima,CN,84.22,light rain,24.4478,117.8111,龙海钻石大酒店
517,Sur,OM,87.39,few clouds,22.5667,59.5289,Sur Plaza Hotel
520,Tartagal,AR,85.15,clear sky,-22.5164,-63.8013,Almuñecar Hotel
521,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
525,Suez,EG,88.45,clear sky,29.9737,32.5263,Green House
527,Carutapera,BR,84.7,broken clouds,-1.195,-46.02,Lidera
531,Amapa,BR,85.44,clear sky,1.0,-52.0,
532,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
538,Bac Lieu,VN,81.27,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
541,Sorong,ID,80.24,heavy intensity rain,-0.8833,131.25,waigo splash hotel
545,Taoru,IN,87.46,few clouds,28.2167,76.95,Aravali Orchard
555,Jacmel,HT,80.44,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
563,Ortona,IT,81.12,clear sky,42.3496,14.4039,La Casa del Palombaro
566,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
568,Carauari,BR,80.58,scattered clouds,-4.8828,-66.8958,Hotel Fellip
574,Caraballeda,VE,87.37,few clouds,10.6112,-66.8522,Hotel 15 Letras
575,Luang Prabang,LA,82.36,thunderstorm,19.8856,102.1347,Villa Oasis
584,Sao Jose Da Coroa Grande,BR,81.28,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
589,Amboasary,MG,80.44,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
591,Abonnema,NG,86.88,light rain,4.7084,6.7931,Corper's Lodge Obonoma
592,Bandarbeyla,SO,83.79,scattered clouds,9.4942,50.8122,JABIR HOTEL
593,Cartagena,CO,83.82,haze,10.3997,-75.5144,Hotel Colombia Real - Cartagena
595,Tambopata,PE,80.49,clear sky,-12.7333,-69.1833,
596,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
598,Lambarene,GA,86.02,light rain,-0.7001,10.2406,Le Refuge
603,Karachi,PK,85.82,very heavy rain,24.9056,67.0822,Sadaat
605,Pakxe,LA,84.34,thunderstorm,15.1167,105.7833,Champasak Palace Hotel
606,Languyan,PH,80.76,scattered clouds,5.2618,120.0807,
625,Lucea,JM,84.06,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
627,Kollam,IN,80.47,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
632,Bom Jesus Da Lapa,BR,88.09,clear sky,-13.255,-43.4181,Hotel das Nações
638,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
644,Hinganghat,IN,85.41,overcast clouds,20.5667,78.8333,Ravindra Lokhande
649,Abha,SA,82.22,few clouds,18.2164,42.5053,Abha Hotel
651,Gambela,ET,86.23,few clouds,8.25,34.5833,Solomon Debebe Hotel
654,Male,MV,80.55,very heavy rain,4.1748,73.5089,Hotel Octave Maldives
665,Abnub,EG,89.82,few clouds,27.2696,31.1511,Romany Adly Gad
673,Ilheus,BR,82.22,broken clouds,-14.7889,-39.0494,Barravento Hotel
